model,ver_name,brand
ASK-TL00x,#移动 4G+ 版 (麒麟 710F),honor
ASUS_AI2201_A,#游戏手机 6,asus
ASUS_AI2201_B,#游戏手机 6 Pro,asus
ASUS_AI2203_A,#游戏手机 6 天玑版,asus
ASUS_AI2203_B,#游戏手机 6 天玑至尊版,asus
ASUS_AI2205_A,#游戏手机 7,asus
ASUS_AI2205_B,#游戏手机 7 Pro,asus
ASUS_I001DA,#游戏手机 2,asus
ASUS_I001DB,#游戏手机 2,asus
ASUS_I003DD,#游戏手机 3,asus
ASUS_I005DA,#游戏手机 5 #游戏手机 5s,asus
ASUS_I005DB,#游戏手机 5 Pro #游戏手机 5s Pro,asus
ASUS_I007D,#,asus
ASUS_Z01QD,#游戏手机,asus
ATH-AL00,#全网通版,honor
ATH-CL00,#电信版,honor
ATH-TL00,#移动定制版,honor
ATH-TL00H,#移动渠道版,honor
ATH-UL00,#双 4G 版,honor
ATH-UL01,#,honor
